id_cliente,idade,renda_mensal,estado,canal_aquisicao,id_pedido,sku_produto,data_compra,quantidade,categoria,linha,custo_producao,preco_venda,Lucro
CLI00021,61,12249.75,PE,Google,PED032414,SKU008,2025-12-22,2,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00022,47,8910.18,SC,Orgânico,PED004211,SKU036,2025-12-14,3,Queijo,Padrão,8.56,10.97,2.41
CLI00022,47,8910.18,SC,Orgânico,PED029471,SKU050,2025-04-10,2,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00022,47,8910.18,SC,Orgânico,PED040395,SKU040,2025-09-01,3,Chocolate,Padrão,12.65,17.56,4.909999999999998
CLI00022,47,8910.18,SC,Orgânico,PED047028,SKU018,2025-02-18,5,Café,Padrão,5.9,7.71,1.8099999999999996
CLI00023,55,8459.1,PR,Instagram,PED005830,SKU041,2025-09-15,1,Café,Fancy,28.04,86.55,58.51
CLI00023,55,8459.1,PR,Instagram,PED023365,SKU034,2025-05-29,3,Café,Padrão,28.01,34.38,6.370000000000001
CLI00023,55,8459.1,PR,Instagram,PED027551,SKU030,2025-12-02,2,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00023,55,8459.1,PR,Instagram,PED032881,SKU014,2025-05-08,4,Chocolate,Padrão,19.99,27.88,7.890000000000001
CLI00023,55,8459.1,PR,Instagram,PED036860,SKU021,2025-03-09,1,Queijo,Fancy,34.11,92.27,58.16
CLI00023,55,8459.1,PR,Instagram,PED049885,SKU023,2025-08-20,4,Vinho,Padrão,18.37,23.98,5.609999999999999
CLI00024,19,3742.6,SP,Orgânico,PED018099,SKU003,2025-07-08,3,Café,Padrão,28.73,37.16,8.429999999999996
CLI00024,19,3742.6,SP,Orgânico,PED022235,SKU033,2025-02-28,5,Vinho,Padrão,25.99,33.35,7.360000000000003
CLI00024,19,3742.6,SP,Orgânico,PED023015,SKU010,2025-11-15,1,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00024,19,3742.6,SP,Orgânico,PED025404,SKU023,2025-05-05,3,Vinho,Padrão,18.37,23.98,5.609999999999999
CLI00024,19,3742.6,SP,Orgânico,PED031542,SKU008,2025-11-18,1,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00025,38,7020.13,PR,Google,PED010554,SKU006,2025-10-09,2,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00025,38,7020.13,PR,Google,PED030217,SKU005,2025-12-11,5,Café,Padrão,8.25,10.54,2.289999999999999
CLI00025,38,7020.13,PR,Google,PED038353,SKU029,2025-12-17,2,Café,Fancy,19.0,46.93,27.93
CLI00026,50,6804.25,RS,TikTok,PED001867,SKU050,2025-10-01,3,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00026,50,6804.25,RS,TikTok,PED014992,SKU032,2025-06-21,4,Chocolate,Padrão,29.64,36.07,6.43
CLI00026,50,6804.25,RS,TikTok,PED027169,SKU050,2025-09-04,4,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00026,50,6804.25,RS,TikTok,PED028189,SKU007,2025-08-17,3,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00027,29,8580.85,MG,Orgânico,PED004865,SKU020,2025-04-17,2,Vinho,Padrão,13.27,18.56,5.289999999999999
CLI00027,29,8580.85,MG,Orgânico,PED014598,SKU024,2025-09-07,2,Café,Padrão,22.37,29.42,7.050000000000001
CLI00027,29,8580.85,MG,Orgânico,PED018866,SKU022,2025-02-03,3,Vinho,Padrão,24.91,33.34,8.430000000000003
CLI00027,29,8580.85,MG,Orgânico,PED030865,SKU030,2025-05-16,4,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00027,29,8580.85,MG,Orgânico,PED034357,SKU019,2025-05-24,3,Queijo,Padrão,6.62,8.72,2.1000000000000005
CLI00027,29,8580.85,MG,Orgânico,PED042867,SKU027,2025-07-26,5,Queijo,Padrão,16.11,20.55,4.440000000000001
CLI00028,39,4349.57,RJ,Orgânico,PED020933,SKU033,2025-01-24,5,Vinho,Padrão,25.99,33.35,7.360000000000003
CLI00028,39,4349.57,RJ,Orgânico,PED024724,SKU006,2025-08-18,4,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00028,39,4349.57,RJ,Orgânico,PED027808,SKU044,2025-06-21,1,Café,Fancy,33.82,116.07,82.25
CLI00028,39,4349.57,RJ,Orgânico,PED034710,SKU030,2025-12-10,5,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00028,39,4349.57,RJ,Orgânico,PED041228,SKU044,2025-07-29,1,Café,Fancy,33.82,116.07,82.25
CLI00028,39,4349.57,RJ,Orgânico,PED048338,SKU033,2025-07-17,5,Vinho,Padrão,25.99,33.35,7.360000000000003
CLI00029,61,10365.09,SP,Orgânico,PED002113,SKU017,2025-01-03,2,Café,Fancy,49.65,128.55,78.9
CLI00029,61,10365.09,SP,Orgânico,PED014419,SKU006,2025-02-09,5,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00029,61,10365.09,SP,Orgânico,PED017114,SKU043,2025-03-07,2,Chocolate,Padrão,12.3,17.05,4.75
CLI00029,61,10365.09,SP,Orgânico,PED017865,SKU041,2025-11-21,1,Café,Fancy,28.04,86.55,58.51
CLI00029,61,10365.09,SP,Orgânico,PED021244,SKU027,2025-12-09,3,Queijo,Padrão,16.11,20.55,4.440000000000001
CLI00029,61,10365.09,SP,Orgânico,PED030991,SKU046,2026-01-01,1,Café,Fancy,28.93,92.47,63.54
CLI00029,61,10365.09,SP,Orgânico,PED047432,SKU005,2025-08-28,5,Café,Padrão,8.25,10.54,2.289999999999999
CLI00030,42,2210.33,BA,TikTok,PED001414,SKU042,2025-11-06,3,Café,Padrão,22.14,29.93,7.789999999999999
CLI00030,42,2210.33,BA,TikTok,PED003959,SKU003,2025-04-30,5,Café,Padrão,28.73,37.16,8.429999999999996
CLI00030,42,2210.33,BA,TikTok,PED004622,SKU043,2025-05-10,2,Chocolate,Padrão,12.3,17.05,4.75
CLI00030,42,2210.33,BA,TikTok,PED016281,SKU044,2025-05-30,2,Café,Fancy,33.82,116.07,82.25
CLI00031,66,7329.73,RS,Orgânico,PED005174,SKU003,2025-12-27,3,Café,Padrão,28.73,37.16,8.429999999999996
CLI00031,66,7329.73,RS,Orgânico,PED005580,SKU044,2025-01-21,2,Café,Fancy,33.82,116.07,82.25
CLI00031,66,7329.73,RS,Orgânico,PED014590,SKU032,2025-11-23,3,Chocolate,Padrão,29.64,36.07,6.43
CLI00031,66,7329.73,RS,Orgânico,PED030372,SKU035,2025-04-10,3,Vinho,Padrão,25.3,32.16,6.859999999999996
CLI00031,66,7329.73,RS,Orgânico,PED032846,SKU008,2025-04-13,1,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00031,66,7329.73,RS,Orgânico,PED035132,SKU032,2025-09-10,5,Chocolate,Padrão,29.64,36.07,6.43
CLI00032,44,5700.83,BA,Orgânico,PED023608,SKU025,2025-07-16,5,Chocolate,Padrão,7.36,9.23,1.87
CLI00032,44,5700.83,BA,Orgânico,PED042944,SKU012,2025-03-07,3,Café,Padrão,21.24,29.1,7.860000000000003
CLI00033,59,8807.95,PE,Orgânico,PED032107,SKU043,2025-09-20,2,Chocolate,Padrão,12.3,17.05,4.75
CLI00033,59,8807.95,PE,Orgânico,PED034824,SKU015,2025-09-06,1,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00034,45,5862.71,BA,Orgânico,PED001377,SKU007,2025-08-01,4,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00034,45,5862.71,BA,Orgânico,PED009036,SKU050,2025-05-28,3,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00034,45,5862.71,BA,Orgânico,PED016915,SKU049,2025-09-18,1,Café,Fancy,31.37,77.62,46.25
CLI00034,45,5862.71,BA,Orgânico,PED035597,SKU043,2025-09-23,2,Chocolate,Padrão,12.3,17.05,4.75
CLI00034,45,5862.71,BA,Orgânico,PED044690,SKU014,2025-11-05,3,Chocolate,Padrão,19.99,27.88,7.890000000000001
CLI00034,45,5862.71,BA,Orgânico,PED047708,SKU034,2025-06-29,3,Café,Padrão,28.01,34.38,6.370000000000001
CLI00035,33,7992.78,RS,Instagram,PED000010,SKU007,2025-02-17,5,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00035,33,7992.78,RS,Instagram,PED004166,SKU047,2025-05-16,2,Vinho,Padrão,20.1,24.7,4.599999999999998
CLI00035,33,7992.78,RS,Instagram,PED011989,SKU015,2025-02-08,1,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00035,33,7992.78,RS,Instagram,PED014126,SKU001,2025-10-29,2,Chocolate,Fancy,36.19,101.34,65.15
CLI00036,32,9715.18,RJ,TikTok,PED005943,SKU043,2025-02-25,4,Chocolate,Padrão,12.3,17.05,4.75
CLI00036,32,9715.18,RJ,TikTok,PED007282,SKU037,2025-04-12,1,Vinho,Fancy,22.55,50.24,27.69
CLI00036,32,9715.18,RJ,TikTok,PED012227,SKU021,2025-09-07,2,Queijo,Fancy,34.11,92.27,58.16
CLI00036,32,9715.18,RJ,TikTok,PED022362,SKU045,2025-09-14,1,Queijo,Fancy,23.07,70.64,47.57
CLI00036,32,9715.18,RJ,TikTok,PED026326,SKU037,2025-11-20,2,Vinho,Fancy,22.55,50.24,27.69
CLI00036,32,9715.18,RJ,TikTok,PED029065,SKU015,2025-12-15,2,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00036,32,9715.18,RJ,TikTok,PED032935,SKU022,2025-04-08,2,Vinho,Padrão,24.91,33.34,8.430000000000003
CLI00036,32,9715.18,RJ,TikTok,PED040786,SKU048,2025-07-05,1,Chocolate,Fancy,32.15,97.58,65.43
CLI00036,32,9715.18,RJ,TikTok,PED044063,SKU048,2025-05-15,2,Chocolate,Fancy,32.15,97.58,65.43
CLI00037,64,6648.74,RJ,Orgânico,PED011199,SKU027,2025-11-07,3,Queijo,Padrão,16.11,20.55,4.440000000000001
CLI00037,64,6648.74,RJ,Orgânico,PED012832,SKU022,2025-04-07,5,Vinho,Padrão,24.91,33.34,8.430000000000003
CLI00037,64,6648.74,RJ,Orgânico,PED016756,SKU030,2025-02-28,2,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00037,64,6648.74,RJ,Orgânico,PED030556,SKU007,2025-04-22,4,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00037,64,6648.74,RJ,Orgânico,PED035485,SKU009,2025-05-18,5,Queijo,Padrão,11.4,14.19,2.789999999999999
CLI00037,64,6648.74,RJ,Orgânico,PED039647,SKU006,2025-01-08,2,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00038,68,8461.05,SP,Google,PED005534,SKU001,2025-08-22,1,Chocolate,Fancy,36.19,101.34,65.15
CLI00038,68,8461.05,SP,Google,PED006699,SKU008,2025-01-23,2,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00038,68,8461.05,SP,Google,PED028028,SKU038,2025-03-22,2,Queijo,Fancy,41.12,86.83,45.71
CLI00038,68,8461.05,SP,Google,PED041924,SKU026,2025-05-03,4,Vinho,Padrão,17.76,22.58,4.819999999999997
CLI00039,61,6965.15,RS,Instagram,PED002054,SKU013,2025-07-15,4,Café,Padrão,13.05,16.27,3.219999999999999
CLI00039,61,6965.15,RS,Instagram,PED003505,SKU023,2025-06-21,5,Vinho,Padrão,18.37,23.98,5.609999999999999
CLI00039,61,6965.15,RS,Instagram,PED003623,SKU047,2025-08-07,5,Vinho,Padrão,20.1,24.7,4.599999999999998
CLI00039,61,6965.15,RS,Instagram,PED033806,SKU024,2025-01-22,2,Café,Padrão,22.37,29.42,7.050000000000001
CLI00039,61,6965.15,RS,Instagram,PED040756,SKU007,2025-05-14,4,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00039,61,6965.15,RS,Instagram,PED041993,SKU013,2025-12-27,4,Café,Padrão,13.05,16.27,3.219999999999999
CLI00040,69,2519.27,RS,TikTok,PED010673,SKU036,2025-09-14,5,Queijo,Padrão,8.56,10.97,2.41
CLI00040,69,2519.27,RS,TikTok,PED030124,SKU034,2025-04-03,4,Café,Padrão,28.01,34.38,6.370000000000001
CLI00040,69,2519.27,RS,TikTok,PED035507,SKU012,2025-03-13,2,Café,Padrão,21.24,29.1,7.860000000000003
CLI00041,20,3469.91,SP,TikTok,PED015248,SKU048,2025-12-22,2,Chocolate,Fancy,32.15,97.58,65.43
CLI00041,20,3469.91,SP,TikTok,PED029970,SKU021,2025-07-09,1,Queijo,Fancy,34.11,92.27,58.16
CLI00041,20,3469.91,SP,TikTok,PED046698,SKU050,2025-04-12,4,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00042,54,4254.84,PE,Google,PED010984,SKU010,2025-01-06,2,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00042,54,4254.84,PE,Google,PED015016,SKU014,2025-01-02,5,Chocolate,Padrão,19.99,27.88,7.890000000000001
CLI00042,54,4254.84,PE,Google,PED035191,SKU013,2025-11-01,4,Café,Padrão,13.05,16.27,3.219999999999999
CLI00042,54,4254.84,PE,Google,PED039756,SKU008,2025-04-13,2,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00042,54,4254.84,PE,Google,PED048823,SKU048,2025-05-24,2,Chocolate,Fancy,32.15,97.58,65.43
CLI00043,68,7797.46,RS,TikTok,PED002042,SKU033,2025-02-18,4,Vinho,Padrão,25.99,33.35,7.360000000000003
CLI00043,68,7797.46,RS,TikTok,PED016595,SKU012,2025-08-13,4,Café,Padrão,21.24,29.1,7.860000000000003
CLI00043,68,7797.46,RS,TikTok,PED025513,SKU003,2025-12-04,2,Café,Padrão,28.73,37.16,8.429999999999996
CLI00043,68,7797.46,RS,TikTok,PED035130,SKU038,2025-02-21,2,Queijo,Fancy,41.12,86.83,45.71
CLI00043,68,7797.46,RS,TikTok,PED042125,SKU047,2025-04-19,4,Vinho,Padrão,20.1,24.7,4.599999999999998
CLI00044,24,2599.01,MG,Instagram,PED003098,SKU016,2025-01-14,2,Vinho,Fancy,44.92,112.37,67.45
CLI00044,24,2599.01,MG,Instagram,PED014346,SKU003,2025-12-06,5,Café,Padrão,28.73,37.16,8.429999999999996
CLI00044,24,2599.01,MG,Instagram,PED043395,SKU050,2025-01-18,5,Chocolate,Padrão,13.55,18.75,5.199999999999999
CLI00045,38,7055.14,PE,Google,PED033974,SKU040,2025-11-29,3,Chocolate,Padrão,12.65,17.56,4.909999999999998
CLI00045,38,7055.14,PE,Google,PED043787,SKU028,2025-04-14,1,Café,Fancy,21.85,62.6,40.75
CLI00046,26,7208.05,PR,Instagram,PED005066,SKU021,2025-03-26,2,Queijo,Fancy,34.11,92.27,58.16
CLI00046,26,7208.05,PR,Instagram,PED019862,SKU002,2025-07-03,4,Vinho,Padrão,13.96,19.13,5.169999999999998
CLI00046,26,7208.05,PR,Instagram,PED025560,SKU038,2025-05-20,1,Queijo,Fancy,41.12,86.83,45.71
CLI00046,26,7208.05,PR,Instagram,PED027320,SKU003,2025-08-15,5,Café,Padrão,28.73,37.16,8.429999999999996
CLI00047,56,7840.21,BA,Google,PED000803,SKU001,2025-10-07,2,Chocolate,Fancy,36.19,101.34,65.15
CLI00047,56,7840.21,BA,Google,PED006361,SKU043,2025-06-07,3,Chocolate,Padrão,12.3,17.05,4.75
CLI00047,56,7840.21,BA,Google,PED011086,SKU046,2025-05-26,1,Café,Fancy,28.93,92.47,63.54
